88,&,150-151,&,三義交-泰安服務區(出),&,Sanyi Interchange-Tai'an Service Area(out),&,SY Int.-Tai'an S. A.(out),\\,SY Int.-Tai'an S. A.(out)(088),SY Int.-Tai'an S. A.(out)(150-151),,三義交-泰安服務區(出)(150-151)
89,&,151-158,&,三義交-泰安服務區,&,Sanyi Interchange-Tai'an Service Area,&,SY Int.-Tai'an S. A.,\\,SY Int.-Tai'an S. A.(089),SY Int.-Tai'an S. A.(151-158),,三義交-泰安服務區(151-158)
90,&,158-159,&,三義交-泰安服務區(入),&,Sanyi Interchange-Tai'an Service Area(in),&,SY Int.-Tai'an S. A.(in),\\,SY Int.-Tai'an S. A.(in)(090),SY Int.-Tai'an S. A.(in)(158-159),,三義交-泰安服務區(入)(158-159)
91,&,159-160,&,泰安服務區-后里交,&,Tai'an Service Area-Houli Interchange,&,Tai'an S. A.-HL Int.,\\,Tai'an S. A.-HL Int.(091),Tai'an S. A.-HL Int.(159-160),,泰安服務區-后里交(159-160)
92,&,160-161,&,后里交-台中系統(出),&,Houli Interchange-Taichung Junction(out),&,HL Int.-TC Jun.(out),\\,HL Int.-TC Jun.(out)(092),HL Int.-TC Jun.(out)(160-161),,后里交-台中系統(出)(160-161)
93,&,161-164,&,后里交-台中系統,&,Houli Interchange-Taichung Junction,&,HL Int.-TC Jun.,\\,HL Int.-TC Jun.(093),HL Int.-TC Jun.(161-164),,后里交-台中系統(161-164)
94,&,164-165,&,后里交-台中系統(入),&,Houli Interchange-Taichung Junction(in),&,HL Int.-TC Jun.(in),\\,HL Int.-TC Jun.(in)(094),HL Int.-TC Jun.(in)(164-165),,后里交-台中系統(入)(164-165)
95,&,165-166,&,台中系統 -豐原交(出),&,Taichung Junction-Fengyuan Interchange(out),&,TC Jun.-FY Int.(out),\\,TC Jun.-FY Int.(out)(095),TC Jun.-FY Int.(out)(165-166),,台中系統 -豐原交(出)(165-166)
96,&,166-167,&,台中系統 -豐原交,&,Taichung Junction-Fengyuan Interchange,&,TC Jun.-FY Int.,\\,TC Jun.-FY Int.(096),TC Jun.-FY Int.(166-167),,台中系統 -豐原交(166-167)
97,&,167-168,&,台中系統 -豐原交(入),&,Taichung Junction-Fengyuan Interchange(in),&,TC Jun.-FY Int.(in),\\,TC Jun.-FY Int.(in)(097),TC Jun.-FY Int.(in)(167-168),,台中系統 -豐原交(入)(167-168)
98,&,168-169,&,豐原交 -大雅交(出),&,Fengyuan Interchange-Daya Interchange(out),&,FY Int.-DY Int.(out),\\,FY Int.-DY Int.(out)(098),FY Int.-DY Int.(out)(168-169),,豐原交 -大雅交(出)(168-169)
99,&,169-173,&,豐原交 -大雅交,&,Fengyuan Interchange-Daya Interchange,&,FY Int.-DY Int.,\\,FY Int.-DY Int.(099),FY Int.-DY Int.(169-173),,豐原交 -大雅交(169-173)
100,&,173-174,&,豐原交 -大雅交(入),&,Fengyuan Interchange-Daya Interchange(in),&,FY Int.-DY Int.(in),\\,FY Int.-DY Int.(in)(100),FY Int.-DY Int.(in)(173-174),,豐原交 -大雅交(入)(173-174)
101,&,174-175,&,大雅交-台中交(出),&,Daya Interchange-Taichung Interchange(out),&,DY Int.-TC Int.(out),\\,DY Int.-TC Int.(out)(101),DY Int.-TC Int.(out)(174-175),,大雅交-台中交(出)(174-175)
102,&,175-177,&,大雅交-台中交,&,Daya Interchange-Taichung Interchange,&,DY Int.-TC Int.,\\,DY Int.-TC Int.(102),DY Int.-TC Int.(175-177),,大雅交-台中交(175-177)
103,&,177-178,&,大雅交-台中交(入),&,Daya Interchange-Taichung Interchange(in),&,DY Int.-TC Int.(in),\\,DY Int.-TC Int.(in)(103),DY Int.-TC Int.(in)(177-178),,大雅交-台中交(入)(177-178)
104,&,178-179,&,台中交-南屯交(出),&,Taichung Interchange-Nantun Interchange(out),&,TC Int.-NC Int.(out),\\,TC Int.-NC Int.(out)(104),TC Int.-NC Int.(out)(178-179),,台中交-南屯交(出)(178-179)
105,&,179-180,&,台中交-南屯交,&,Taichung Interchange-Nantun Interchange,&,TC Int.-NC Int.,\\,TC Int.-NC Int.(105),TC Int.-NC Int.(179-180),,台中交-南屯交(179-180)
106,&,180-181,&,台中交-南屯交(入),&,Taichung Interchange-Nantun Interchange(in),&,Taichung Int.-NC Int.(in),\\,Taichung Int.-NC Int.(in)(106),Taichung Int.-NC Int.(in)(180-181),,台中交-南屯交(入)(180-181)
107,&,181-182,&,南屯交-王田交(出),&,Nantun Interchange-Wangtian Interchange(out),&,NC Int.-WT Int.(out),\\,NC Int.-WT Int.(out)(107),NC Int.-WT Int.(out)(181-182),,南屯交-王田交(出)(181-182)
108,&,182-188,&,南屯交-王田交,&,Nantun Interchange-Wangtian Interchange,&,NC Int.-WT Int.,\\,NC Int.-WT Int.(108),NC Int.-WT Int.(182-188),,南屯交-王田交(182-188)
109,&,188-189,&,南屯交-王田交(入),&,Nantun Interchange-Wangtian Interchange(in),&,NC Int.-WT Int.(in),\\,NC Int.-WT Int.(in)(109),NC Int.-WT Int.(in)(188-189),,南屯交-王田交(入)(188-189)
110,&,189-190,&,王田交-彰化系統(出),&,Wangtian Interchange-Changhua Junction(out),&,WT Int.-CH Jun.(out),\\,WT Int.-CH Jun.(out)(110),WT Int.-CH Jun.(out)(189-190),,王田交-彰化系統(出)(189-190)
